2025-10-09 23:30:15.539 ERROR (MainThread) [homeassistant.components.number] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mbasic_device_volume already exists - ignoring number.camera_ext_1_volume
2025-10-09 23:30:15.539 ERROR (MainThread) [homeassistant.components.number] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjbasic_device_volume already exists - ignoring number.piscine_volume
2025-10-09 23:30:15.540 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfeb805b26b9059f70tc0erelay_status already exists - ignoring select.switchwire_comportement_a_la_mise_sous_tension
2025-10-09 23:30:15.541 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfeb805b26b9059f70tc0elight_mode already exists - ignoring select.switchwire_mode_voyant_lumineux
2025-10-09 23:30:15.541 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf874bd7de0ee1d22618ksrelay_status already exists - ignoring select.pc_home_assistant_comportement_a_la_mise_sous_tension
2025-10-09 23:30:15.541 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf874bd7de0ee1d22618kslight_mode already exists - ignoring select.pc_home_assistant_mode_voyant_lumineux
2025-10-09 23:30:15.541 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf5c4ed155cf7ac7990axkrelay_status already exists - ignoring select.vzbot_comportement_a_la_mise_sous_tension
2025-10-09 23:30:15.541 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf5c4ed155cf7ac7990axklight_mode already exists - ignoring select.vzbot_mode_voyant_lumineux
2025-10-09 23:30:15.541 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocadecibel_sensitivity already exists - ignoring select.360camera_sensibilite_de_detection_sonore
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocarecord_mode already exists - ignoring select.360camera_mode_enregistrement
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocabasic_nightvision already exists - ignoring select.360camera_vision_de_nuit
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocabasic_anti_flicker already exists - ignoring select.360camera_anti_scintillement
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocamotion_sensitivity already exists - ignoring select.360camera_sensibilite_de_detection_de_mouvement
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vrecord_mode already exists - ignoring select.camera_salon_mode_enregistrement
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vbasic_nightvision already exists - ignoring select.camera_salon_vision_de_nuit
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vmotion_sensitivity already exists - ignoring select.camera_salon_sensibilite_de_detection_de_mouvement
2025-10-09 23:30:15.542 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mdecibel_sensitivity already exists - ignoring select.camera_ext_1_sensibilite_de_detection_sonore
2025-10-09 23:30:15.543 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mrecord_mode already exists - ignoring select.camera_ext_1_mode_enregistrement
2025-10-09 23:30:15.543 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mbasic_anti_flicker already exists - ignoring select.camera_ext_1_anti_scintillement
2025-10-09 23:30:15.543 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mmotion_sensitivity already exists - ignoring select.camera_ext_1_sensibilite_de_detection_de_mouvement
2025-10-09 23:30:15.544 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjrecord_mode already exists - ignoring select.piscine_mode_enregistrement
2025-10-09 23:30:15.544 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjbasic_nightvision already exists - ignoring select.piscine_vision_de_nuit
2025-10-09 23:30:15.545 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjmotion_sensitivity already exists - ignoring select.piscine_sensibilite_de_detection_de_mouvement
2025-10-09 23:30:15.545 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bfd9769cce61785a12izp4relay_status already exists - ignoring select.piscine_comportement_a_la_mise_sous_tension
2025-10-09 23:30:15.545 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf4e378001818540e7ry3trelay_status already exists - ignoring select.eclairage_terrasse_comportement_a_la_mise_sous_tension
2025-10-09 23:30:15.545 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf13abb9462bc9348fc18brelay_status already exists - ignoring select.eclairage_cible_comportement_a_la_mise_sous_tension
2025-10-09 23:30:15.545 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf8d42b594d7da1ea44dvxrecord_mode already exists - ignoring select.sonnette_exterieur_mode_enregistrement
